obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
4055765,K00100.01,KOI,1.0,CANDIDATE,9.9664004,5.0127,1620.0,3.079,1.595,12.598
4055774,K02381.01,KOI,0.0,FALSE POSITIVE,6.58738839,4.758,259.0,0.822,0.907,15.575
405620289,405620289,TOI,1.0,PC,2.1532179,2.072,6780.0,1.68,0.974,13.0723
4056579,K08091.01,KOI,0.0,FALSE POSITIVE,239.179477,2.93,751.0,6.877,1.996,13.265
4056616,K02013.01,KOI,1.0,CONFIRMED,2.41434868,1.2701,191.0,0.724,0.715,13.156
405689470,405689470,TOI,1.0,PC,7.9871247,2.382,1897.0,0.68,0.974,12.1096
405700729,405700729,TOI,1.0,PC,4.7920153,1.4903703,2042.54211,0.882828,0.974,10.849
405717754,405717754,TOI,1.0,KP,4.4379727,4.7176624,16222.5125,1.5696599,0.974,12.9614
405763009,405763009,TOI,1.0,PC,5.3076483,2.8686583,3377.160259,0.308919,0.974,12.0349
405788729,405788729,TOI,1.0,PC,4.2254748,4.8390265,1577.257225,1.75516,0.974,11.7066
405794804,405794804,TOI,0.0,FP,1.44127,2.605,2750.0,1.65,0.974,9.79455
4058169,K05034.01,KOI,0.0,FALSE POSITIVE,282.5363563,10.3088,29200.0,1.41,1.084,13.252
405837291,405837291,TOI,1.0,PC,2.3206673,0.969,2935.0,0.67,0.974,12.9341
405862830,405862830,TOI,0.0,FP,1.6268695,3.231,1502.0,0.73,0.974,10.3579
4058881,K03912.01,KOI,0.0,FALSE POSITIVE,7.77241144,5.272,287.0,0.993,1.101,15.327
405897415,405897415,TOI,1.0,PC,4.6387689,3.569,11400.0,1.2,0.974,12.9084
405904232,405904232,TOI,0.0,FP,11.0765063,4.692,4400.0,1.86,0.974,10.1098
405932063,405932063,TOI,1.0,PC,5.5047275,4.025,7530.0,1.47,0.974,13.1569
4059887,K04887.01,KOI,0.0,FALSE POSITIVE,1.018347376,4.386,47.8,2.638,1.358,12.905
4060229,K04570.01,KOI,1.0,CANDIDATE,35.0175053,3.608,292.0,1.123,0.905,14.638
4060815,K01222.01,KOI,0.0,FALSE POSITIVE,4.2856756,4.059,31.4,3.733,1.429,12.203
406106335,406106335,TOI,1.0,PC,3.0773658,3.579,5140.0,1.75,0.974,12.8132
4061149,K01201.01,KOI,1.0,CONFIRMED,2.757584622,0.9267,563.0,0.424,0.454,15.597
406140233,406140233,TOI,1.0,PC,3.1816478,3.493,9300.0,1.53,0.974,13.4649
406190563,406190563,TOI,0.0,FP,1.773346,3.291,710.0,3.08,0.974,10.351
406236094,406236094,TOI,1.0,PC,4.1394473,2.94,4070.0,1.96,0.974,11.059
406318573,406318573,TOI,1.0,PC,5.179282,2.6320655,5746.965128,1.21172,0.974,13.2598
406361982,406361982,TOI,1.0,PC,5.2819763,5.909,3320.0,2.5,0.974,12.5459
4063943,K05035.01,KOI,1.0,CANDIDATE,115.2314507,2.01,1490.0,1.077,0.974,15.879
406443564,406443564,TOI,0.0,FP,1.1167145,1.817,12810.0,1.22,0.974,13.2364
406495245,406495245,TOI,1.0,PC,7.6014943,3.018,1898.0,1.99,0.974,8.2893
406548952,406548952,TOI,1.0,PC,13.5647678,3.17,10194.0,0.77,0.974,12.8391
406634633,406634633,TOI,1.0,PC,3.9589142,2.42,16160.0,1.22,0.974,13.0911
406672232,406672232,TOI,1.0,PC,1.0214555,1.252,319.0,0.82,0.974,8.5325
406684949,406684949,TOI,1.0,APC,12.7091678,1.746,4620.0,1.25,0.974,12.1047
4067110,K04026.01,KOI,0.0,FALSE POSITIVE,0.735146413,5.053,275.0,7.435,2.61,12.855
406726743,406726743,TOI,1.0,PC,17.7481897,2.516,5210.0,1.51,0.974,12.5819
4067336,K01761.01,KOI,0.0,FALSE POSITIVE,10.12742274,1.2762,934.0,1.162,1.232,15.623
4067549,K06380.01,KOI,0.0,FALSE POSITIVE,7.698431197,5.43677,42500.0,0.876,0.903,15.451
406783172,406783172,TOI,1.0,PC,24.8366994,4.793,10898.0,0.89,0.974,12.735
4067925,K03066.01,KOI,1.0,CONFIRMED,24.2204192,3.271,806.0,0.761,0.859,15.911
4068391,K05036.01,KOI,0.0,FALSE POSITIVE,289.490952,3.91,773.0,1.032,0.995,15.14
406855039,406855039,TOI,0.0,FP,2.7180835,6.1842922,329.1728205,2.1805999,0.974,9.54581
406861922,406861922,TOI,1.0,PC,4.0358074,2.667,11250.0,1.56,0.974,13.0656
4069063,K06381.01,KOI,0.0,FALSE POSITIVE,0.504296702,1.4145,6000.0,1.187,0.899,13.318
4069213,K06382.01,KOI,0.0,FALSE POSITIVE,5.194256813,7.25775,38900.0,2.086,1.244,12.739
406926040,406926040,TOI,1.0,PC,11.6999152,3.863,2960.0,2.16,0.974,11.2924
406976746,406976746,TOI,1.0,PC,10.0665238,2.4023189,839.9044871,0.791742,0.974,9.0689
4070275,4070275,TOI,1.0,PC,5.4240691,1.6875037,1766.85893,0.465777,0.974,11.3993
4070376,K01318.01,KOI,0.0,FALSE POSITIVE,1.634614356,3.4422,19800.0,0.97,1.001,15.31
407059875,407059875,TOI,1.0,PC,7.1925327,2.551,1180.0,0.77,0.974,10.5782
407126408,407126408,TOI,1.0,PC,1469.851204,5.9485102,945.0433631,0.732535,0.974,9.6181
407127579,407127579,TOI,1.0,PC,3.5108018,2.791,960.0,1.59,0.974,11.5939
407135911,407135911,TOI,1.0,PC,2.5698331,2.412,10411.0,1.077,0.974,12.9658
407146536,407146536,TOI,0.0,FP,2.0976705,3.3618036,2503.685688,2.7729599,0.974,11.2851
407146538,407146538,TOI,0.0,FP,2.0915616,3.634,2560.0,1.62,0.974,11.9139
407156755,407156755,TOI,1.0,PC,4.7924038,6.012,2562.0,2.75,0.974,12.0066
4071638,K05037.01,KOI,1.0,CANDIDATE,349.58811,5.052,373.0,74.32,1.792,12.989
407166076,407166076,TOI,1.0,PC,8.7520247,3.602,17410.0,0.94,0.974,12.8852
4072271,K07680.01,KOI,1.0,CANDIDATE,219.20579,14.5,208.0,1.785,1.515,12.449
4072333,K02731.01,KOI,0.0,FALSE POSITIVE,2.007750531,2.0715,352.0,0.865,0.965,15.664
407243316,407243316,TOI,1.0,PC,3.0755983,1.617,6482.0,1.077,0.974,13.4612
